originator,stdErrMultiple,OML.ols,OML.mlm,GML.ols,GML.mlm,Competitive Suppression.ols,Competitive Suppression.mlm,Direct Suppression.ols,Direct Suppression.mlm,Generalized Competitive Suppression.ols,Generalized Competitive Suppression.mlm,Generalized Direct Suppression.ols,Generalized Direct Suppression.mlm,ROE Competitive Suppression.ols,ROE Competitive Suppression.mlm,ROE Direct Suppression.ols,ROE Direct Suppression.mlm
OML,0.5,-82.2173969341812,-82.2173969341812,-126.001701407055,-115.052708311664,-191.91457254,-191.91457254,-133.547462719667,-133.547462719667,-244.222158866752,-233.64047994734,-177.209175515196,-158.322617771259,-93.746931938594,-89.148426633234,-257.574849557747,-86.6290825897467
OML,0.5,-85.5529553877156,-85.5529553877156,-115.842569397834,-107.59825457881,-188.925193960733,-188.925193960733,-135.080273051022,-135.080273051022,-214.797069354833,-202.707396106448,-150.326215642176,-132.990220862977,-92.328663841554,-85.823973484741,-83.8875654252473,-82.5960784994253
OML,0.5,-90.1110035745753,-90.1110035745753,-153.446371151268,-143.998822795355,-189.512005762926,-189.512005762926,-133.470497495528,-133.470497495528,-210.643707933207,-204.881900128495,-158.429771727669,-148.909792545618,-99.0741252294602,-94.5489380142254,-403.151631977493,-93.9468668771979
OML,0.5,-103.266689802511,-103.266689802511,-140.730324505096,-130.011424736682,-185.216245467089,-185.216245467089,-132.410347239031,-132.410347239031,-229.964675709733,-221.209139806712,-171.701384265515,-152.249390146721,-112.361710606683,-105.803062209977,-404.541508563664,-101.721584527497
OML,0.5,-93.3293465429544,-93.3293465429544,-148.139848644751,-119.115193225156,-183.466512807912,-183.466512807912,-146.388111911847,-146.388111911847,-288.619073816245,-212.321253979458,-201.476883756475,-155.730055604031,-110.508566047339,-107.161722369657,-299.989095679902,-90.2742614097253
OML,0.5,-80.8292943994434,-80.8292943994434,-148.293378424721,-128.839075899465,-196.574977772171,-196.574977772171,-128.465861831755,-128.465861831755,-233.484228815402,-225.954412900904,-191.728930241418,-169.606315698937,-93.895828893063,-90.2956551732343,-181.437291159825,-80.0724448345301
OML,0.5,-82.0095265740593,-82.0095265740593,-147.913830541926,-123.62217142864,-169.428323680566,-169.428323680566,-143.888059251705,-143.888059251705,-190.122460488179,-179.308999726865,-170.954128610462,-144.3421319715,-86.7686343827838,-79.8243064936273,-93.0597472212782,-84.7113910566879
OML,0.5,-91.3855817991836,-91.3855817991836,-135.866564164638,-118.752702324621,-183.97558087767,-183.97558087767,-125.110812150977,-125.110812150977,-207.162939638043,-199.430648751708,-157.663820101941,-124.70373354786,-91.5396771792821,-90.2178902507417,-417.80011025083,-88.8906559116972
OML,0.5,-73.7399286146396,-73.7399286146396,-154.979746187748,-130.817688684697,-216.788797745548,-216.788797745548,-123.458377736249,-123.458377736249,-237.109082452945,-226.861633835307,-225.297407450418,-208.676753046732,-97.3286972426757,-86.4020940745823,-430.050882584247,-77.2707805917473
OML,0.5,-103.293870785954,-103.293870785954,-176.077858077305,-145.242156733911,-167.851762796909,-167.851762796909,-158.929011163339,-158.929011163339,-204.871732083276,-183.387949440669,-260.639712320203,-212.059629792752,-110.816137316096,-108.430981410281,-390.39285933366,-98.8889182492284
